Model	Transcription factor
GSX2_HUMAN.H11MO.0.D	HUMAN:GSX2
HAND1_HUMAN.H11MO.0.D	HUMAN:HAND1
HAND1_HUMAN.H11MO.1.D	HUMAN:HAND1
HBP1_HUMAN.H11MO.0.D	HUMAN:HBP1
HEN1_HUMAN.H11MO.0.C	HUMAN:NHLH1
HES1_HUMAN.H11MO.0.D	HUMAN:HES1
HES5_HUMAN.H11MO.0.D	HUMAN:HES5
HES7_HUMAN.H11MO.0.D	HUMAN:HES7
HESX1_HUMAN.H11MO.0.D	HUMAN:HESX1
HEY1_HUMAN.H11MO.0.D	HUMAN:HEY1
HEY2_HUMAN.H11MO.0.D	HUMAN:HEY2
HIC1_HUMAN.H11MO.0.C	HUMAN:HIC1
HIC2_HUMAN.H11MO.0.D	HUMAN:HIC2
HIF1A_HUMAN.H11MO.0.C	HUMAN:HIF1A
HINFP_HUMAN.H11MO.0.C	HUMAN:HINFP
HLF_HUMAN.H11MO.0.C	HUMAN:HLF
HLTF_HUMAN.H11MO.0.D	HUMAN:HLTF
HMBX1_HUMAN.H11MO.0.D	HUMAN:HMBOX1
HME1_HUMAN.H11MO.0.D	HUMAN:EN1
HME2_HUMAN.H11MO.0.D	HUMAN:EN2
HMGA1_HUMAN.H11MO.0.D	HUMAN:HMGA1
HMGA2_HUMAN.H11MO.0.D	HUMAN:HMGA2
HMX1_HUMAN.H11MO.0.D	HUMAN:HMX1
HMX2_HUMAN.H11MO.0.D	HUMAN:HMX2
HMX3_HUMAN.H11MO.0.D	HUMAN:HMX3
HNF1A_HUMAN.H11MO.0.C	HUMAN:HNF1A
HNF1B_HUMAN.H11MO.0.A	HUMAN:HNF1B
HNF1B_HUMAN.H11MO.1.A	HUMAN:HNF1B
HNF4A_HUMAN.H11MO.0.A	HUMAN:HNF4A
HNF4G_HUMAN.H11MO.0.B	HUMAN:HNF4G
HNF6_HUMAN.H11MO.0.B	HUMAN:ONECUT1
HOMEZ_HUMAN.H11MO.0.D	HUMAN:HOMEZ
HSF1_HUMAN.H11MO.0.A	HUMAN:HSF1
HSF1_HUMAN.H11MO.1.A	HUMAN:HSF1
HSF2_HUMAN.H11MO.0.A	HUMAN:HSF2
HSF4_HUMAN.H11MO.0.D	HUMAN:HSF4
HSFY1_HUMAN.H11MO.0.D	HUMAN:HSFY1; HUMAN:HSFY2
HTF4_HUMAN.H11MO.0.A	HUMAN:TCF12
HXA10_HUMAN.H11MO.0.C	HUMAN:HOXA10
HXA11_HUMAN.H11MO.0.D	HUMAN:HOXA11
HXA13_HUMAN.H11MO.0.C	HUMAN:HOXA13
HXA1_HUMAN.H11MO.0.C	HUMAN:HOXA1
HXA2_HUMAN.H11MO.0.D	HUMAN:HOXA2
HXA5_HUMAN.H11MO.0.D	HUMAN:HOXA5
HXA7_HUMAN.H11MO.0.D	HUMAN:HOXA7
HXA9_HUMAN.H11MO.0.B	HUMAN:HOXA9
HXB13_HUMAN.H11MO.0.A	HUMAN:HOXB13
HXB1_HUMAN.H11MO.0.D	HUMAN:HOXB1
HXB2_HUMAN.H11MO.0.D	HUMAN:HOXB2
HXB3_HUMAN.H11MO.0.D	HUMAN:HOXB3
HXB4_HUMAN.H11MO.0.B	HUMAN:HOXB4
HXB6_HUMAN.H11MO.0.D	HUMAN:HOXB6
HXB7_HUMAN.H11MO.0.C	HUMAN:HOXB7
HXB8_HUMAN.H11MO.0.C	HUMAN:HOXB8
HXC10_HUMAN.H11MO.0.D	HUMAN:HOXC10
HXC11_HUMAN.H11MO.0.D	HUMAN:HOXC11
HXC12_HUMAN.H11MO.0.D	HUMAN:HOXC12
HXC13_HUMAN.H11MO.0.D	HUMAN:HOXC13
HXC6_HUMAN.H11MO.0.D	HUMAN:HOXC6
HXC8_HUMAN.H11MO.0.D	HUMAN:HOXC8
HXC9_HUMAN.H11MO.0.C	HUMAN:HOXC9
HXD10_HUMAN.H11MO.0.D	HUMAN:HOXD10
HXD11_HUMAN.H11MO.0.D	HUMAN:HOXD11
HXD12_HUMAN.H11MO.0.D	HUMAN:HOXD12
HXD13_HUMAN.H11MO.0.D	HUMAN:HOXD13
HXD3_HUMAN.H11MO.0.D	HUMAN:HOXD3
HXD4_HUMAN.H11MO.0.D	HUMAN:HOXD4
HXD8_HUMAN.H11MO.0.D	HUMAN:HOXD8
HXD9_HUMAN.H11MO.0.D	HUMAN:HOXD9
ID4_HUMAN.H11MO.0.D	HUMAN:ID4
IKZF1_HUMAN.H11MO.0.C	HUMAN:IKZF1
INSM1_HUMAN.H11MO.0.C	HUMAN:INSM1
IRF1_HUMAN.H11MO.0.A	HUMAN:IRF1
IRF2_HUMAN.H11MO.0.A	HUMAN:IRF2
IRF3_HUMAN.H11MO.0.B	HUMAN:IRF3
IRF4_HUMAN.H11MO.0.A	HUMAN:IRF4
IRF5_HUMAN.H11MO.0.D	HUMAN:IRF5
IRF7_HUMAN.H11MO.0.C	HUMAN:IRF7
IRF8_HUMAN.H11MO.0.B	HUMAN:IRF8
IRF9_HUMAN.H11MO.0.C	HUMAN:IRF9
IRX2_HUMAN.H11MO.0.D	HUMAN:IRX2
IRX3_HUMAN.H11MO.0.D	HUMAN:IRX3
ISL1_HUMAN.H11MO.0.A	HUMAN:ISL1
ISL2_HUMAN.H11MO.0.D	HUMAN:ISL2
ISX_HUMAN.H11MO.0.D	HUMAN:ISX
ITF2_HUMAN.H11MO.0.C	HUMAN:TCF4
JDP2_HUMAN.H11MO.0.D	HUMAN:JDP2
JUNB_HUMAN.H11MO.0.A	HUMAN:JUNB
JUND_HUMAN.H11MO.0.A	HUMAN:JUND
JUN_HUMAN.H11MO.0.A	HUMAN:JUN
KAISO_HUMAN.H11MO.0.A	HUMAN:ZBTB33
KAISO_HUMAN.H11MO.1.A	HUMAN:ZBTB33
KAISO_HUMAN.H11MO.2.A	HUMAN:ZBTB33
KLF12_HUMAN.H11MO.0.C	HUMAN:KLF12
KLF13_HUMAN.H11MO.0.D	HUMAN:KLF13
KLF14_HUMAN.H11MO.0.D	HUMAN:KLF14
KLF15_HUMAN.H11MO.0.A	HUMAN:KLF15
KLF16_HUMAN.H11MO.0.D	HUMAN:KLF16
KLF1_HUMAN.H11MO.0.A	HUMAN:KLF1
KLF3_HUMAN.H11MO.0.B	HUMAN:KLF3
KLF4_HUMAN.H11MO.0.A	HUMAN:KLF4
KLF5_HUMAN.H11MO.0.A	HUMAN:KLF5
KLF6_HUMAN.H11MO.0.A	HUMAN:KLF6
KLF8_HUMAN.H11MO.0.C	HUMAN:KLF8
KLF9_HUMAN.H11MO.0.C	HUMAN:KLF9
LBX2_HUMAN.H11MO.0.D	HUMAN:LBX2
LEF1_HUMAN.H11MO.0.A	HUMAN:LEF1
LHX2_HUMAN.H11MO.0.A	HUMAN:LHX2
LHX3_HUMAN.H11MO.0.C	HUMAN:LHX3
LHX4_HUMAN.H11MO.0.D	HUMAN:LHX4
LHX6_HUMAN.H11MO.0.D	HUMAN:LHX6
LHX8_HUMAN.H11MO.0.D	HUMAN:LHX8
LHX9_HUMAN.H11MO.0.D	HUMAN:LHX9
LMX1A_HUMAN.H11MO.0.D	HUMAN:LMX1A
LMX1B_HUMAN.H11MO.0.D	HUMAN:LMX1B
LYL1_HUMAN.H11MO.0.A	HUMAN:LYL1
MAFA_HUMAN.H11MO.0.D	HUMAN:MAFA
MAFB_HUMAN.H11MO.0.B	HUMAN:MAFB
MAFF_HUMAN.H11MO.0.B	HUMAN:MAFF
MAFF_HUMAN.H11MO.1.B	HUMAN:MAFF
MAFG_HUMAN.H11MO.0.A	HUMAN:MAFG
MAFG_HUMAN.H11MO.1.A	HUMAN:MAFG
MAFK_HUMAN.H11MO.0.A	HUMAN:MAFK
MAFK_HUMAN.H11MO.1.A	HUMAN:MAFK
MAF_HUMAN.H11MO.0.A	HUMAN:MAF
MAF_HUMAN.H11MO.1.B	HUMAN:MAF
MAX_HUMAN.H11MO.0.A	HUMAN:MAX
MAZ_HUMAN.H11MO.0.A	HUMAN:MAZ
MAZ_HUMAN.H11MO.1.A	HUMAN:MAZ
MBD2_HUMAN.H11MO.0.B	HUMAN:MBD2
MCR_HUMAN.H11MO.0.D	HUMAN:NR3C2
MECP2_HUMAN.H11MO.0.C	HUMAN:MECP2
MEF2A_HUMAN.H11MO.0.A	HUMAN:MEF2A
MEF2B_HUMAN.H11MO.0.A	HUMAN:MEF2B
MEF2C_HUMAN.H11MO.0.A	HUMAN:MEF2C
MEF2D_HUMAN.H11MO.0.A	HUMAN:MEF2D
MEIS1_HUMAN.H11MO.0.A	HUMAN:MEIS1
MEIS1_HUMAN.H11MO.1.B	HUMAN:MEIS1
MEIS2_HUMAN.H11MO.0.B	HUMAN:MEIS2
MEIS3_HUMAN.H11MO.0.D	HUMAN:MEIS3
MEOX1_HUMAN.H11MO.0.D	HUMAN:MEOX1
MEOX2_HUMAN.H11MO.0.D	HUMAN:MEOX2
MESP1_HUMAN.H11MO.0.D	HUMAN:MESP1
MGAP_HUMAN.H11MO.0.D	HUMAN:MGA
MITF_HUMAN.H11MO.0.A	HUMAN:MITF
MIXL1_HUMAN.H11MO.0.D	HUMAN:MIXL1
MLXPL_HUMAN.H11MO.0.D	HUMAN:MLXIPL
MLX_HUMAN.H11MO.0.D	HUMAN:MLX
MNX1_HUMAN.H11MO.0.D	HUMAN:MNX1
MSX1_HUMAN.H11MO.0.D	HUMAN:MSX1
MSX2_HUMAN.H11MO.0.D	HUMAN:MSX2
MTF1_HUMAN.H11MO.0.C	HUMAN:MTF1
MXI1_HUMAN.H11MO.0.A	HUMAN:MXI1
MXI1_HUMAN.H11MO.1.A	HUMAN:MXI1
MYBA_HUMAN.H11MO.0.D	HUMAN:MYBL1
MYBB_HUMAN.H11MO.0.D	HUMAN:MYBL2
MYB_HUMAN.H11MO.0.A	HUMAN:MYB
MYCN_HUMAN.H11MO.0.A	HUMAN:MYCN
MYC_HUMAN.H11MO.0.A	HUMAN:MYC
MYF6_HUMAN.H11MO.0.C	HUMAN:MYF6
MYNN_HUMAN.H11MO.0.D	HUMAN:MYNN
